"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"S-RST1";"B3F-10XX";1;"10-XX";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_3mm";4;"MountingHole_3mm";;;
3;"L-Reg2,L-Reg1,L-Reg3,L-Reg4";"INDUCTOR_V";4;"INDUCTOR";;;
4;"C-RegB2,C-RegA3,C-RegA4,C-RegA1,C-RegA2,C-RegB1,C-RegB3,C-RegB4";"C_Radial_D5_L6_P2.5";8;"CP";;;
5;"BATT3,BATT1,BATT2,BATT4";"SparkFun-1X02_XTRA_BIG";4;"M02PTH4";;;
6;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA8A-A";;;
7;"C-BATT1,C-PVS1";"C_Rect_L7_W2_P5";2;"C";;;
8;"CON1";"JACK_ALIM";1;"BARREL_JACK";;;
9;"D-ADC-LAMP1,D-ADC-USB1,D-Scot1,D-Scot2,D-Scot3,D-Scot4,D-VCC1";"Diode_DO-35_SOD27_Horizontal_RM10";7;"D_Schottky";;;
10;"D-Reg1,D-Reg2,D-Reg3,D-Reg4,D-V12";"Diode_DO-35_SOD27_Horizontal_RM10";5;"D";;;
11;"DZ-USB1";"Diode_DO-35_SOD27_Horizontal_RM10";1;"5v6";;;
12;"DZ-VCC1";"Diode_DO-35_SOD27_Horizontal_RM10";1;"5v1";;;
13;"IC-Reg1,IC-Reg2";"TO-263-5Lead";2;"LM2596S-5v";;;
14;"IC-Reg3";"TO-263-5Lead";1;"LM2596S-12v";;;
15;"IC-Reg4";"TO-263-5Lead";1;"LM2596S-Adj";;;
16;"P-VCC1";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
17;"R-BATT1,R-BATT2,R-PVS1,R-PVS2";"Resistor_Horizontal_RM10mm";4;"R";;;
18;"R-CONN1,R-CONN2,R-CONN3,R-RST1";"Resistor_Horizontal_RM10mm";4;"4k7";;;
19;"R-LEDIND-1,R-LEDIND-2,R-LEDIND-3";"Resistor_Horizontal_RM10mm";3;"330";;;
20;"U1,U2,U3,U4";"STX3100";4;"STEREOJACK_STX3100";;;
21;"ASP1";"Pin_Header_Straight_1x06";1;"CONN_01X06";;;
22;"P1";"USB_A";1;"USB_A";;;
23;"UART1";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
24;"D1,D2,D3,D4,D5,D6";"LED-3MM";6;"LED";;;
